genome_id	assembly_accession	sra_accession
573.13463		SRR5386643
573.13464		SRR5386642
573.13465		SRR5386641
573.13466		SRR5386640
573.13467		SRR5386639
573.13468		SRR5386638
573.13469		SRR5386637
573.13470		SRR5386636
573.13471		SRR5386635
573.13472		SRR5386634
573.13473		SRR5386633
573.13474		SRR5386632
573.13475		SRR5386631
573.13476		SRR5386630
573.13477		SRR5386629
573.13478		SRR5386628
573.13479		SRR5386432
573.13480		SRR5386627
573.13481		SRR5386626
573.13482		SRR5386625
573.13483		SRR5386624
573.13484		SRR5386623
573.13485		SRR5386622
573.13486		SRR5386621
573.13487		SRR5386620
573.13488		SRR5386431
573.13489		SRR5386619
573.13490		SRR5386618
573.13491		SRR5386617
573.13492		SRR5386616
573.13493		SRR5386615
573.13494		SRR5386614
573.13495		SRR5386613
573.13496		SRR5386612
573.13497		SRR5386156
573.13498		SRR5386155
573.13499		SRR5386154
573.13500		SRR5386153
573.13501		SRR5386152
573.13502		SRR5386151
573.13503		SRR5386149
573.13504		SRR5386148
573.13505		SRR5386430
573.13506		SRR5386146
573.13507		SRR5386145
573.13508		SRR5386144
573.13509		SRR5386143
573.13510		SRR5386142
573.13511		SRR5386141
573.13512		SRR5386140
573.13513		SRR5386139
573.13514		SRR5386137
573.13515		SRR5386136
573.13516		SRR5386135
573.13517		SRR5386134
573.13518		SRR5386133
573.13519		SRR5386132
573.13520		SRR5386131
573.13521		SRR5386130
573.13522		SRR5386129
573.13523		SRR5386429
573.13524		SRR5386127
573.13525		SRR5386126
573.13526		SRR5386125
573.13527		SRR5386124
573.13528		SRR5386123
573.13529		SRR5386122
573.13530		SRR5386428
573.13531		SRR5386121
573.13532		SRR5386120
573.13533		SRR5386119
573.13534		SRR5386118
573.13535		SRR5386116
573.13537		SRR5386114
573.13538		SRR5386427
573.13539		SRR5386113
573.13540		SRR5386112
573.13541		SRR5386111
573.13542		SRR5386110
573.13543		SRR5386109
573.13544		SRR5386108
573.13545		SRR5386107
573.13546		SRR5386426
573.13547		SRR5386106
573.13548		SRR5386105
573.13549		SRR5386104
573.13550		SRR5386425
573.13551		SRR5386103
573.13552		SRR5386102
573.13553		SRR5386101
573.13554		SRR5386100
573.13555		SRR5386099
573.13556		SRR5386098
573.13557		SRR5386097
573.13558		SRR5386424
573.13559		SRR5386096
573.13560		SRR5386095
573.13561		SRR5386094
573.13562		SRR5386093
573.13563		SRR5386092
573.13564		SRR5386091
573.13565		SRR5386088
573.13566		SRR5386087
573.13567		SRR5386086
573.13568		SRR5386084
573.13569		SRR5386083
573.13570		SRR5386082
573.13571		SRR5386081
573.13572		SRR5386080
573.13573		SRR5386079
573.13574		SRR5386078
573.13575		SRR5386077
573.13576		SRR5386423
573.13577		SRR5386075
573.13578		SRR5386072
573.13579		SRR5386071
573.13580		SRR5386070
573.13581		SRR5386069
573.13582		SRR5386068
573.13583		SRR5386067
573.13584		SRR5386422
573.13585		SRR5386066
573.13586		SRR5386065
573.13587		SRR5386064
573.13588		SRR5386063
573.13589		SRR5386062
573.13590		SRR5386061
573.13591		SRR5386060
573.13592		SRR5386059
573.13593		SRR5386058
573.13594		SRR5386057
573.13595		SRR5386056
573.13596		SRR5386054
573.13597		SRR5386053
573.13598		SRR5386052
573.13599		SRR5386051
573.13600		SRR5386050
573.13601		SRR5386049
573.13602		SRR5386048
573.13603		SRR5386421
573.13604		SRR5386047
573.13605		SRR5386046
573.13606		SRR5386045
573.13607		SRR5386044
573.13608	GCA_002269255.1	SRR5386043
573.13609		SRR5386042
573.13610		SRR5386041
573.13611		SRR5386040
573.13612		SRR5386039
573.13613		SRR5386038
573.13614		SRR5386037
573.13615		SRR5386036
573.13616		SRR5386035
573.13617		SRR5386034
573.13618		SRR5386033
573.13619		SRR5386032
573.13620		SRR5386031
573.13621		SRR5386030
573.13622		SRR5386029
573.13623		SRR5386028
573.13624		SRR5386027
573.13625		SRR5386026
573.13626		SRR5386025
573.13627		SRR5386006
573.13628		SRR5386005
573.13629		SRR5386004
573.13630		SRR5386003
573.13631		SRR5386002
573.13632		SRR5386420
573.13633		SRR5386001
573.13634		SRR5386000
573.13635		SRR5385999
573.13636		SRR5385998
573.13637		SRR5385996
573.13638		SRR5385995
573.13639		SRR5385994
573.13640		SRR5385993
573.13641		SRR5385992
573.13642		SRR5385991
573.13643		SRR5385990
573.13644		SRR5385989
573.13645		SRR5385988
573.13646		SRR5385987
573.13647		SRR5385986
573.13648		SRR5385985
